回填範圍：2015-01 ~ 2026-06（共 138 個月）
[1/138] 2015-01 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：400/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：450/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：500/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：550/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：600/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：650/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：700/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：750/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：800/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：850/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：900/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：950/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1000/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1050/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
[1/138] 2015-01 已寫入：data/snapshots\2015-01\universe.json
[2/138] 2015-02 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：400/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：450/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：500/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：550/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：600/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：650/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：700/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：750/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：800/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：850/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：900/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：950/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1000/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1050/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
[2/138] 2015-02 已寫入：data/snapshots\2015-02\universe.json
[3/138] 2015-03 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：400/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：450/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：500/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：550/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：600/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：650/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：700/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：750/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：800/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：850/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：900/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：950/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1000/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1050/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
[3/138] 2015-03 已寫入：data/snapshots\2015-03\universe.json
[4/138] 2015-04 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：400/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：450/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：500/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：550/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：600/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：650/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：700/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：750/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：800/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：850/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：900/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：950/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1000/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1050/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
[4/138] 2015-04 已寫入：data/snapshots\2015-04\universe.json
[5/138] 2015-05 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：400/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：450/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：500/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：550/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：600/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：650/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：700/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：750/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：800/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：850/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：900/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：950/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1000/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1050/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
[5/138] 2015-05 已寫入：data/snapshots\2015-05\universe.json
[6/138] 2015-06 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：400/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：450/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：500/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：550/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：600/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：650/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：700/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：750/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：800/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：850/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：900/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：950/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1000/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1050/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
[6/138] 2015-06 已寫入：data/snapshots\2015-06\universe.json
[7/138] 2015-07 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：400/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：450/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：500/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：550/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：600/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：650/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：700/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：750/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：800/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：850/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：900/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：950/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1000/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1050/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：1100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
[7/138] 2015-07 已寫入：data/snapshots\2015-07\universe.json
[8/138] 2015-08 已存在但版本過時（0007-v1 → 0007-v2），重建...
上櫃股進度：50/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：100/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：150/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：200/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：250/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：300/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
上櫃股進度：350/1139（fetch_error 累計 0；finmind_price 快取檔數 1428）
